source,target
AndersonChhabra_2002,Society_1952
AndersonChhabra_2002,Walker_2000
AndersonChhabra_2002,Webb_1994
AndersonChhabra_2002,Wolfgang_etal_1999
Bainbridge_1958,Bainbridge_1958_b
Bainbridge_1958,Dahl_1935
Bainbridge_1958,Davidson_1949
Bainbridge_1958,Dknil_1937
Bainbridge_1958,FryHart_1948
Bainbridge_1958,Gkro_1952
Bainbridge_1958,Gray_1953
Bainbridge_1958,Hardy_1954
Bainbridge_1958,Hecht_1916
Bainbridge_1958,Lane_1941
Bainbridge_1958,Radcliffe_1950
Bainbridge_1958,Magnan_1930
Bainbridge_1958,Regnard_1893
Bainbridge_1958,Stringham_1924
Bainbridge_1958,Wales_1950
Barrett_etal_1996,Barrett_1994
Barrett_etal_1996,VidelerHess_1984
Barrett_etal_1996,BoseLien_1989
Barrett_etal_1996,Mason_1985
Barrett_etal_1996,Angle_1989
Barrett_etal_1996,Zeglin_1991
Barrett_etal_1996,Barrett_1996_b
Barrett_etal_1996,Wu_1971_c
Barrett_etal_1996,Triantafyllou_etal_1996
Barrett_etal_1996,Lighthill_1960
Barrett_etal_1996,Dewar_1993
Barrett_etal_1996,Frankel_1995
Barrett_etal_1999,Aleyev_1977
Barrett_etal_1999,Anderson_1996
Barrett_etal_1999,Anderson_etal_1998
Barrett_etal_1999,Barrett_1996
Barrett_etal_1999,Barrett_1995
Barrett_etal_1999,Beal_1999
Barrett_etal_1999,Cheng_etal_1991
Barrett_etal_1999,Ffowcs_1989
Barrett_etal_1999,Fierstine_1968
Barrett_etal_1999,Gopalkrishnan_etal_1994
Barrett_etal_1999,Gray_1936
Barrett_etal_1999,Gursul_1992
Barrett_etal_1999,HarperBlake_1990
Barrett_etal_1999,Hoerner_1965
Barrett_etal_1999,Hoerner_1985
Barrett_etal_1999,Koochesfahani_1988
Barrett_etal_1999,Krasny_1986
Barrett_etal_1999,Lighthill_1975
Barrett_etal_1999,Roberts_1985
Barrett_etal_1999,Rome_etal_1993
Barrett_etal_1999,Taneda_1974
Barrett_etal_1999,Taneda_1978
Barrett_etal_1999,Tokomaru_1991
Barrett_etal_1999,Triantafyllou_1995
Barrett_etal_1999,Triantafyllou_etal_1991
Barrett_etal_1999,Triantafyllou_etal_1993
Barrett_etal_1999,Wolfgang_1999
Barrett_etal_1999,Wu_1961
Barrett_etal_1999,Wu_1971
Blake_etal_1995,Blake_1995
Blake_etal_1995,DomeniciBlake_1991
Blake_etal_1995,Fierstine_1968
Blake_etal_1995,Harper_1989
Blake_etal_1995,HarperBlake_1990
Blake_etal_1995,Kasapi_etal_1993
Blake_etal_1995,Partridge_etal_1983
Blake_etal_1995,Webb_1976
Blake_etal_1995,Webb_1983
Blake_etal_1995,Webb_1984
Blake_etal_1995,Webb_1988
Blake_etal_1995,Webb_1990
Blake_etal_1995,Webb_1981
Blank_etal_2007,Altringham_1997
Blank_etal_2007,Barrett_1964
Blank_etal_2007,Bell_1970
Blank_etal_2007,Blank_etal_2002
Blank_etal_2007,Blank_etal_2004
Blank_etal_2007,Block_etal_2001
Blank_etal_2007,Block_etal_2001_b
Blank_etal_2007,Boggs_1991
Blank_etal_2007,Brett_1964
Blank_etal_2007,Block_etal_2005
Blank_etal_2007,Brill_1979
Blank_etal_2007,Brill_1987_b
Blank_etal_2007,Brill_2001
Blank_etal_2007,Carey_etal_1984
Blank_etal_2007,Carey_1973
Blank_etal_2007,Carey_1969
Blank_etal_2007,Clarke_1999
Blank_etal_2007,DewarGraham_1994c
Blank_etal_2007,DewarGraham_1994a
Blank_etal_2007,Dewar_etal_1994
Blank_etal_2007,Dickson_1996
Blank_etal_2007,Dickson_etal_2002
Blank_etal_2007,Farrell_etal_1992
Blank_etal_2007,Farrell_2003
Blank_etal_2007,Farwell_2001
Blank_etal_2007,Fierstine_1968
Blank_etal_2007,Freund_1999
Blank_etal_2007,Giovane_etal_1980
Blank_etal_2007,Gooding_etal_1981
Blank_etal_2007,Graham_1982
Blank_etal_2007,Graham_etal_1989
Blank_etal_2007,Gunn_etal_2001
Blank_etal_2007,Guppy_etal_1979
Blank_etal_2007,Hamilton_1991
Blank_etal_2007,Hughes_1984
Blank_etal_2007,Kishinouye_1923
Blank_etal_2007,Kitagawa_etal_2004
Blank_etal_2007,Kitagawa_2006_d
Blank_etal_2007,Kitagawa_etal_2002
Blank_etal_2007,Knower_etal_1999
Blank_etal_2007,Korsmeyer_etal_1996
Blank_etal_2007,Korsmeyer_2001
Blank_etal_2007,Landeira-Fernandez_etal_2004
Blank_etal_2007,Linthicum_1972
Blank_etal_2007,Magnuson_1969
Blank_etal_2007,Magnuson_1973_e
Blank_etal_2007,Marcinek_2000
Blank_etal_2007,Marcinek_etal_2001
Blank_etal_2007,Modigh_1975
Blank_etal_2007,Moyes_etal_1992
Blank_etal_2007,Muir_1969
Blank_etal_2007,Poupa_etal_1981
Blank_etal_2007,SepulvedaDickson_2000
Blank_etal_2007,Sepulveda_etal_2003
Blank_etal_2007,Sharp_1978
Blank_etal_2007,Shiels_etal_2004
Blank_etal_2007,Steffensen_1989
Blank_etal_2007,Steffensen_etal_1994
Blank_etal_2007,Stevens_1984
Blank_etal_2007,Thorarensen_etal_1993
Blank_etal_2007,Tucker_1970
Blank_etal_2007,Videler_1993
Blank_etal_2007,Vornanen_etal_2002
Blank_etal_2007,Webb_etal_1984
CenErturk_2013,Bandyopadhyay_2005
CenErturk_2013,Roper_2011
CenErturk_2013,Chu_2012
CenErturk_2013,Barrett_1994
CenErturk_2013,Barrett_1996_b
CenErturk_2013,AndersonChhabra_2002
CenErturk_2013,Low_2006
CenErturk_2013,Crespi_2008
CenErturk_2013,Valdivia_y_Alvarado_2007
CenErturk_2013,Liu_etal_2012
CenErturk_2013,Zhou_2012
CenErturk_2013,Wen_2012
CenErturk_2013,Serchi_2012
CenErturk_2013,Shahinpoor_1992
CenErturk_2013,Mojarrad_1996
CenErturk_2013,Laurent_2001
CenErturk_2013,Kim_2003
CenErturk_2013,Kim_2005_b
CenErturk_2013,Chung_2005
CenErturk_2013,Guo_2006
CenErturk_2013,Chung_2006
CenErturk_2013,Tan_2006
CenErturk_2013,Brunetto_2008
CenErturk_2013,Mbemmo_2008
CenErturk_2013,deWitt_2009
CenErturk_2013,Jeon_etal_2008
CenErturk_2013,Chen_etal_2010
CenErturk_2013,Aureli_etal_2010
CenErturk_2013,Takagi_etal_2006
CenErturk_2013,Chen_etal_2011
CenErturk_2013,Chen_etal_2011_b
CenErturk_2013,Shinjo_2004
CenErturk_2013,Wang_etal_2008
CenErturk_2013,Wang_etal_2008_b
CenErturk_2013,Cho_etal_2008
CenErturk_2013,Rossi_etal_2011
CenErturk_2013,Rossi_etal_2011_b
CenErturk_2013,Zhang_2005
CenErturk_2013,Zhang_2005_b
CenErturk_2013,Zhang_2009
CenErturk_2013,Zhang_2007
CenErturk_2013,Zhang_etal_2010
CenErturk_2013,Philen_2011
CenErturk_2013,Uchino_2008
CenErturk_2013,Trolier-Mckinstry_2004
CenErturk_2013,Erturk_2011_e
CenErturk_2013,Erturk_2011
CenErturk_2013,Aureli_etal_2012
CenErturk_2013,Aureli_2010
CenErturk_2013,Chu_1963
CenErturk_2013,Taylor_1951
CenErturk_2013,Taylor_1952_b
CenErturk_2013,Anton_etal_2010
CenErturk_2013,Cook-Chennault_2008
CenErturk_2013,Abdelnour_etal_2009
CenErturk_2013,Wang_etal_2009
CenErturk_2013,Wang_2009
CenErturk_2013,Ding_2009_f
CenErturk_2013,Fan_2005
CenErturk_2013,Hirata_2000
CenErturk_2013,Hirata_etal_2000
CenErturk_2013,Liu_2006
CenErturk_2013,Hu_2006
CenErturk_2013,Low_2011
CenErturk_2013,LowChong_2010
CenErturk_2013,Papadopoulos_2009
CenErturk_2013,Shin_etal_2007
CenErturk_2013,Shin_etal_2008
CenErturk_2013,Lauder_2002
CenErturk_2013,Wilkie_etal_2000
CenErturk_2013,High_2003
CenErturk_2013,Bryant_2007
CenErturk_2013,Fukuda_etal_1995
CenErturk_2013,Heo_etal_2007
CenErturk_2013,Wiguna_etal_2009
CenErturk_2013,Ming_etal_2009
CenErturk_2013,Sfakiotakis_etal_1999
CenErturk_2013,Sader_1998
CenErturk_2013,van_Eysden_2007
CenErturk_2013,Chon_etal_2000
CenErturk_2013,van_Eysden_2006
CenErturk_2013,Lighthill_1960
CenErturk_2013,Lighthill_1969
CenErturk_2013,Lighthill_1970
CenErturk_2013,Lighthill_1971
CenErturk_2013,Meirovitch_2001
CenErturk_2013,Wolf_2002
CenErturk_2013,Usher_2005
CenErturk_2013,Stanton_2010
CenErturk_2013,Maali_2005_h
ChenJiang_2019,Feilich_2015
ChenJiang_2019,Lauder_2015
ChenJiang_2019,Bale_etal_2014
ChenJiang_2019,Akanyeti_etal_2016
ChenJiang_2019,Sfakiotakis_etal_1999
ChenJiang_2019,Stefanini_etal_2012
ChenJiang_2019,Park_etal_2014
ChenJiang_2019,Triantafyllou_1995
ChenJiang_2019,Barrett_etal_1999
ChenJiang_2019,Roper_etal_2011
ChenJiang_2019,Raj_2016
ChenJiang_2019,Daou_etal_2014
ChenJiang_2019,Marchese_etal_2014
ChenJiang_2019,Valdivia_y_Alvarado_2006
ChenJiang_2019,Epps_etal_2009
ChenJiang_2019,Katzschmann_etal_2018
ChenJiang_2019,Tytell_etal_2010
ChenJiang_2019,Mcmillen_2006
ChenJiang_2019,Westneat_etal_1993
ChenJiang_2019,Quennouelle_2008
ChenJiang_2019,Chakarov_2004
ChenJiang_2019,Azadi_etal_2009
ChenJiang_2019,Behzadipour_2006
ChenJiang_2019,Henry_etal_1995
ChenJiang_2019,Long_1996
ChenJiang_2019,Long_1998
ChenJiang_2019,Long_1992
ChenJiang_2019,Tytell_etal_2016
ChenJiang_2019,Jones_1990
ChenJiang_2019,Skelton_etal_2001
ChenJiang_2019,Scarr_2010
ChenJiang_2019,Flemons_2012
ChenJiang_2019,Levin_1997
ChenJiang_2019,Pardehshenas_etal_2014
ChenJiang_2019,Lessard_etal_2016
ChenJiang_2019,Baltaxe-Admony_etal_2016
ChenJiang_2019,Lessard_etal_2016_b
ChenJiang_2019,Mirletz_etal_2014
ChenJiang_2019,Levin_2002
ChenJiang_2019,Orki_etal_2012
ChenJiang_2019,Bliss_etal_2013
ChenJiang_2019,Ahlborn_2006
ChenJiang_2019,Boehm_2013
ChenJiang_2019,Blake_2004
ChenJiang_2019,Eloy_2013
ChenJiang_2019,Lighthill_1971
ChenJiang_2019,Culha_etal_2017
ChenJiang_2019,Jiang_etal_2010
ChenJiang_2019,VidelerWardle_1991
ChenJiang_2019,Eloy_2012
ChenJiang_2019,Videler_1993
ChenJiang_2019,Triantafyllou_etal_1991
ChenJiang_2019,Webb_etal_1984
ChenJiang_2019,Webb_1988
ChenJiang_2019,Webb_1986
ChenJiang_2019,Horner_2008
ChenJiang_2019,Blake_etal_2009
ChenJiang_2019,Root_etal_2010
ChenJiang_2019,Long_etal_2010
Chen_etal_2022,Yu_etal_2017
Chen_etal_2022,Wu_etal_2017
Chen_etal_2022,Marras_2012
Chen_etal_2022,Raj_2016
Chen_etal_2022,Ren_etal_2016
Chen_etal_2022,Yu_etal_2019
Chen_etal_2022,Yu_etal_2016
Chen_etal_2022,Katzschmann_etal_2018
Chen_etal_2022,LiuHu_2010
Chen_etal_2022,Su_etal_2014
Chen_etal_2022,Clapham_2014
Chen_etal_2022,Yu_etal_2016_b
Chen_etal_2022,Ouyang_etal_2008
Chen_etal_2022,Chen_etal_2017
Chen_etal_2022,Iida_2011
Chen_etal_2022,Ouyang_etal_2008_b
Chen_etal_2022,Zhu_etal_2019
Chen_etal_2022,White_etal_2021
Chen_etal_2022,Sharifzadeh_etal_2021
Chen_etal_2022,Qian_etal_2015
Chen_etal_2022,Kopman_etal_2015
Chen_etal_2022,Behbahani_2016
Chen_etal_2022,Chen_etal_2020
Chen_etal_2022,Yu_etal_2016_c
Chen_etal_2022,Korkmaz_2015
Chen_etal_2022,Pham_etal_2020
Chen_etal_2022,Yu_etal_2016_d
Chen_etal_2022,Morgansen_etal_2007
Chen_etal_2022,El-Hawary_2000
Chen_etal_2022,Aureli_etal_2010
Chen_etal_2022,Yuan_etal_2016
Chen_etal_2022,Yu_etal_2012
Chen_etal_2022,Zhang_etal_2016
Chong_etal_2009,Wernli_1999
Chong_etal_2009,Kato_2000
Chong_etal_2009,Saimek_2004
Chong_etal_2009,MacIver_etal_2004
Chong_etal_2009,Leonard_1995
Chong_etal_2009,Li_1999
Chong_etal_2009,Low_2006
Chong_etal_2009,Breder_1926
Chong_etal_2009,Lindsey_1978
Chong_etal_2009,Taguchi_1993
Chong_etal_2009,Sfakiotakis_etal_1999
Chong_etal_2009,Magnuson_1978
Conte_etal_2010,Harper_1991
Conte_etal_2010,HarperBlake_1990
Conte_etal_2010,Frith_1995
Conte_etal_2010,Blake_2004
Conte_etal_2010,Weihs_1973
Conte_etal_2010,Ahlborn_etal_1997
Conte_etal_2010,Kohashi_2008
Conte_etal_2010,DomeniciBlake_1997
Conte_etal_2010,Triantafyllou_1995
Conte_etal_2010,Harper_1989_b
Conte_etal_2010,Webb_1978
Conte_etal_2010,RandLauder_1981
Conte_etal_2010,Webb_1986_c
Conte_etal_2010,Frith_1991
Conte_etal_2010,DomeniciBlake_1991
Conte_etal_2010,Hale_2002
Conte_etal_2010,Triantafyllou_etal_2000
Conte_etal_2010,McCutcheon_1977
Conte_etal_2010,Webb_1982
Conte_etal_2010,Schriefer_2004
Conte_etal_2010,Tytell_2008
Conte_etal_2010,Epps_2007
Conte_etal_2010,Muller_etal_2008
Currier_etal_2021,HarperBlake_1990
Currier_etal_2021,Triantafyllou_etal_2000
Currier_etal_2021,Ahlborn_etal_1991
Currier_etal_2021,Harper_1991
Currier_etal_2021,DomeniciBlake_1991
Currier_etal_2021,Wakeling_2001
Currier_etal_2021,Hale_2002
Currier_etal_2021,Blake_2004
Currier_etal_2021,Tytell_2008
Currier_etal_2021,Borazjani_2012
Currier_etal_2021,Borazjani_2013
Currier_etal_2021,Cailliet_etal_1999
Currier_etal_2021,Jones_2003
Currier_etal_2021,Widder_2005
Currier_etal_2021,Mann_2008
Currier_etal_2021,Wynn_2014
Currier_etal_2021,Jakuba_etal_2008
Currier_etal_2021,Mcphail_2009
Currier_etal_2021,Mayer_2006
Currier_etal_2021,Wu_1961
Currier_etal_2021,Lighthill_1971
Currier_etal_2021,Weihs_1973
Currier_etal_2021,Webb_1984
Currier_etal_2021,Triantafyllou_1995
Currier_etal_2021,Triantafyllou_etal_2000
Currier_etal_2021,Cazenille_etal_2018
Currier_etal_2021,Raj_2016_c
Currier_etal_2021,Videler_1993
Currier_etal_2021,Fish_2006
Currier_etal_2021,Bandyopadhyay_2002
Currier_etal_2021,Yu_etal_2005
Currier_etal_2021,Mason_2000_b
Currier_etal_2021,Zhong_etal_2017b
Currier_etal_2021,Conte_etal_2010
Currier_etal_2021,Feng_etal_2011
Currier_etal_2021,Zhong_etal_2018_b
Currier_etal_2021,Zhong_etal_2013
Currier_etal_2021,Su_etal_2013
Currier_etal_2021,Marchese_etal_2014
Currier_etal_2021,Katzschmann_etal_2018
Currier_etal_2021,Webb_1978
Currier_etal_2021,Witt_etal_2015
DewarGraham_1994a,Beamish_1978
DewarGraham_1994a,Bennett_1979
DewarGraham_1994a,Blackburn_1968
DewarGraham_1994a,Boggs_1984
DewarGraham_1994a,Boggs_1991
DewarGraham_1994a,Bone_1978
DewarGraham_1994a,Brett_1964
DewarGraham_1994a,Brett_1965
DewarGraham_1994a,Brett_1985
DewarGraham_1994a,Brett_1973
DewarGraham_1994a,Brill_1987
DewarGraham_1994a,Brill_1991
DewarGraham_1994a,Brill_1979
DewarGraham_1994a,Brown_1970
DewarGraham_1994a,Bushnell_1991
DewarGraham_1994a,Bushnell_etal_1984
DewarGraham_1994a,Carey_1966
DewarGraham_1994a,Collette_1983
DewarGraham_1994a,DewarGraham_1994c
DewarGraham_1994a,Dewar_etal_1994
DewarGraham_1994a,Dickson_1988
DewarGraham_1994a,Dizon_1979
DewarGraham_1994a,Fierstine_1968
DewarGraham_1994a,Gooding_etal_1981
DewarGraham_1994a,Gordon_1968
DewarGraham_1994a,Graham_1975
DewarGraham_1994a,Graham_etal_1990
DewarGraham_1994a,Graham_1982
DewarGraham_1994a,Graham_etal_1989
DewarGraham_1994a,Holland_etal_1990
DewarGraham_1994a,Johnston_1984
DewarGraham_1994a,Lai_etal_1987
DewarGraham_1994a,Lindsey_1978
DewarGraham_1994a,Magnuson_1978
DewarGraham_1994a,Mather_1962
DewarGraham_1994a,Muir_1969
DewarGraham_1994a,Nakamura_1972
DewarGraham_1994a,Olson_1986
DewarGraham_1994a,Roberts_1978
DewarGraham_1994a,Rome_1990
DewarGraham_1994a,Rome_1990_b
DewarGraham_1994a,Schmidt-Nielsen_1972
DewarGraham_1994a,Stevens_1971
DewarGraham_1994a,Stevens_1978
DewarGraham_1994a,Tota_1978
DewarGraham_1994a,Videler_1990
DewarGraham_1994a,Webb_1971
DewarGraham_1994a,Webb_1975
DewarGraham_1994a,Webb_1978
DewarGraham_1994a,Webb_etal_1984
DewarGraham_1994a,Weihs_1973
DewarGraham_1994a,Williams_etal_1992
DewarGraham_1994a,Yuen_1970
DewarGraham_1994c,Aleyev_1977
DewarGraham_1994c,Bainbridge_1958
DewarGraham_1994c,Brill_1979
DewarGraham_1994c,Carey_1973
DewarGraham_1994c,Carey_1966
DewarGraham_1994c,DewarGraham_1994a
DewarGraham_1994c,Fierstine_1968
DewarGraham_1994c,Gooding_etal_1981
DewarGraham_1994c,Graham_etal_1990
DewarGraham_1994c,Graham_1981
DewarGraham_1994c,Graham_etal_1983
DewarGraham_1994c,Graham_etal_1989
DewarGraham_1994c,Gray_1933
DewarGraham_1994c,Greer-Walker_1975
DewarGraham_1994c,HunterZweifel_1971
DewarGraham_1994c,Johnston_1984
DewarGraham_1994c,Kishinouye_1923
DewarGraham_1994c,Lighthill_1975
DewarGraham_1994c,Lighthill_1977
DewarGraham_1994c,Lindsey_1978
DewarGraham_1994c,Magnuson_1970
DewarGraham_1994c,Magnuson_1973
DewarGraham_1994c,Magnuson_1978
DewarGraham_1994c,Nursall_1956
DewarGraham_1994c,Stevens_1971
DewarGraham_1994c,Wardle_1975
DewarGraham_1994c,Wardle_1988
DewarGraham_1994c,Wardle_1980
DewarGraham_1994c,Wardle_etal_1989
DewarGraham_1994c,Webb_1975
DewarGraham_1994c,Webb_1988
DewarGraham_1994c,Webb_1992
DewarGraham_1994c,Webb_etal_1984
DewarGraham_1994c,Wu_1978
DewarGraham_1994c,Yuen_1966
DomeniciBlake_1997,Beamish_1978
DomeniciBlake_1997,Beddow_1995
DomeniciBlake_1997,Beddow_etal_1995_b
DomeniciBlake_1997,Blake_1983
DomeniciBlake_1997,Blake_1983_b
DomeniciBlake_1997,Blake_1996
DomeniciBlake_1997,Blake_etal_1995
DomeniciBlake_1997,Blaxter_1990
DomeniciBlake_1997,Blaxter_etal_1981
DomeniciBlake_1997,Broenmark_1992
DomeniciBlake_1997,Canfield_1993
DomeniciBlake_1997,Carling_etal_1994
DomeniciBlake_1997,Covell_etal_1991
DomeniciBlake_1997,Daniel_1987
DomeniciBlake_1997,Dill_1974
DomeniciBlake_1997,Domenici_1994
DomeniciBlake_1997,Domenici_1997_b
DomeniciBlake_1997,DomeniciBlake_1991
DomeniciBlake_1997,Domenici_1993
DomeniciBlake_1997,Domenici_1993_b
DomeniciBlake_1997,Dubois_etal_1976
DomeniciBlake_1997,Eaton_etal_1977
DomeniciBlake_1997,Eaton_etal_1988
DomeniciBlake_1997,Eaton_1991
DomeniciBlake_1997,Eaton_1984
DomeniciBlake_1997,Eaton_etal_1991_b
DomeniciBlake_1997,Eaton_etal_1984_b
DomeniciBlake_1997,Fernald_1975
DomeniciBlake_1997,Foreman_1993
DomeniciBlake_1997,Frith_1991
DomeniciBlake_1997,Frith_1995
DomeniciBlake_1997,Gamperl_etal_1991
DomeniciBlake_1997,Hambright_1991
DomeniciBlake_1997,Harper_1988
DomeniciBlake_1997,Harper_1989
DomeniciBlake_1997,HarperBlake_1990
DomeniciBlake_1997,Harper_1991
DomeniciBlake_1997,Hobson_1974
DomeniciBlake_1997,Hoogland_etal_1956
DomeniciBlake_1997,Howland_1974
DomeniciBlake_1997,Hunter_1972
DomeniciBlake_1997,Jayne_1993
DomeniciBlake_1997,Johnson_1995
DomeniciBlake_1997,Johnson_etal_1993
DomeniciBlake_1997,Johnston_etal_1990
DomeniciBlake_1997,Kasapi_etal_1993
DomeniciBlake_1997,Kashin_etal_1979
DomeniciBlake_1997,Lighthill_1990
DomeniciBlake_1997,Mcphail_1977
DomeniciBlake_1997,Neill_1974
DomeniciBlake_1997,Nissanov_etal_1990
DomeniciBlake_1997,RandLauder_1981
DomeniciBlake_1997,Rosenthal_1969
DomeniciBlake_1997,Wainwright_etal_1978
DomeniciBlake_1997,Wardle_1975
DomeniciBlake_1997,Webb_1975_b
DomeniciBlake_1997,Webb_1976
DomeniciBlake_1997,Webb_1977
DomeniciBlake_1997,Webb_1978
DomeniciBlake_1997,Webb_1978_b
DomeniciBlake_1997,Webb_1980
DomeniciBlake_1997,Webb_1983_b
DomeniciBlake_1997,Webb_1984
DomeniciBlake_1997,Webb_1984_b
DomeniciBlake_1997,Webb_1986_b
DomeniciBlake_1997,Webb_1986_c
DomeniciBlake_1997,Webb_etal_1990
DomeniciBlake_1997,Webb_1988_b
DomeniciBlake_1997,Webb_1981
DomeniciBlake_1997,Webb_1980_b
DomeniciBlake_1997,Webb_1994_b
DomeniciBlake_1997,Weihs_1973
DomeniciBlake_1997,Weihs_1984
DomeniciBlake_1997,Yocom_1974
DomeniciBlake_1997,Zottoli_etal_1992
DonleyDickson_2000,Altringham_1997
DonleyDickson_2000,Bainbridge_1958
DonleyDickson_2000,Blake_1983
DonleyDickson_2000,Blight_1977
DonleyDickson_2000,Block_etal_1993
DonleyDickson_2000,Breder_1926
DonleyDickson_2000,Brett_1964
DonleyDickson_2000,Carey_1973_b
DonleyDickson_2000,Carpenter_etal_1995
DonleyDickson_2000,Collette_1978
DonleyDickson_2000,DewarGraham_1994c
DonleyDickson_2000,Fierstine_1968
DonleyDickson_2000,Gibb_etal_1999
DonleyDickson_2000,Gillis_1998
DonleyDickson_2000,Godsil_1954
DonleyDickson_2000,Godsil_1944
DonleyDickson_2000,Graham_2000
DonleyDickson_2000,Graham_etal_1983
DonleyDickson_2000,Gray_1933
DonleyDickson_2000,He_1986
DonleyDickson_2000,Hebrank_1982
DonleyDickson_2000,Hunter_1971
DonleyDickson_2000,JayneLauder_1995
DonleyDickson_2000,Kishinouye_1923
DonleyDickson_2000,Knower_1998
DonleyDickson_2000,Wardle_etal_1989
DonleyDickson_2000,Lauder_2000
DonleyDickson_2000,Lighthill_1970
DonleyDickson_2000,Lighthill_1975
DonleyDickson_2000,Lindsey_1978
DonleyDickson_2000,Long_1996_b
DonleyDickson_2000,Magnuson_1963
DonleyDickson_2000,Magnuson_1970
DonleyDickson_2000,Magnuson_1978
DonleyDickson_2000,Magnuson_1966
DonleyDickson_2000,McHenry_etal_1995
DonleyDickson_2000,Nursall_1956
DonleyDickson_2000,Packard_1999
DonleyDickson_2000,Pyatetskiy_1970
DonleyDickson_2000,SepulvedaDickson_2000
DonleyDickson_2000,Shadwick_etal_1999
DonleyDickson_2000,Shadwick_etal_1998
DonleyDickson_2000,Videler_1985
DonleyDickson_2000,Videler_1993
DonleyDickson_2000,VidelerHess_1984
DonleyDickson_2000,Wardle_etal_1989
DonleyDickson_2000,Webb_1971_b
DonleyDickson_2000,Webb_1975
DonleyDickson_2000,Webb_1998
DonleyDickson_2000,Webb_etal_1984
DonleyDickson_2000,Westneat_etal_1993
DonleyDickson_2000,Yuen_1966
Dowis_etal_2003,Altringham_1997
Dowis_etal_2003,Altringham_1999
Dowis_etal_2003,Altringham_2001
Dowis_etal_2003,Blight_1977
Dowis_etal_2003,Block_1991
Dowis_etal_2003,Block_1994
Dowis_etal_2003,Block_etal_1993
Dowis_etal_2003,Carey_etal_1971
Dowis_etal_2003,Carpenter_etal_1995
Dowis_etal_2003,Collette_1978
Dowis_etal_2003,Collette_etal_2001
Dowis_etal_2003,DewarGraham_1994c
Dowis_etal_2003,DewarGraham_1994a
Dowis_etal_2003,Dickson_etal_2002
Dowis_etal_2003,Dixon_1969
Dowis_etal_2003,Donley_1999
Dowis_etal_2003,DonleyDickson_2000
Dowis_etal_2003,Ellerby_etal_2000
Dowis_etal_2003,Fierstine_1968
Dowis_etal_2003,Finnerty_1995
Dowis_etal_2003,Fuiman_1997
Dowis_etal_2003,Gibb_etal_1999
Dowis_etal_2003,Graham_1973
Dowis_etal_2003,Graham_etal_1983
Dowis_etal_2003,Graham_2000
Dowis_etal_2003,Gray_1933
Dowis_etal_2003,Hebrank_1982
Dowis_etal_2003,JayneLauder_1995
Dowis_etal_2003,Johnson_etal_1998
Dowis_etal_2003,Kishinouye_1923
Dowis_etal_2003,Knower_1998
Dowis_etal_2003,Knower_etal_1999
Dowis_etal_2003,Korsmeyer_2001
Dowis_etal_2003,Lighthill_1969
Dowis_etal_2003,Lighthill_1970
Dowis_etal_2003,Lindsey_1978
Dowis_etal_2003,Long_1996_b
Dowis_etal_2003,Magnuson_1970
Dowis_etal_2003,Magnuson_1978
Dowis_etal_2003,Nauen_2000
Dowis_etal_2003,Pyatetskiy_1970
Dowis_etal_2003,Rome_1992
