paper,citationKey,robot,Main
"Anderson, J. M., & Chhabra, N. K. (2002). Maneuvering and stability performance of a robotic tuna. Integrative and Comparative Biology, 42(1), 118–126. https://doi.org/10.1093/icb/42.1.118",AndersonChhabra_2002,TRUE,TRUE
"Anderson, J. M. and P. A. Kerrebrock. 1997. The Vorticity Control Unmanned Undersea Vehicle—An autonomous vehicle employing fish swimming propulsion and maneuvering. Proc. 10th Int.",Anderson_1997,,FALSE
"Anderson, J. M. and P. A. Kerrebrock. 1999. The Vorticity Control Unmanned Undersea Vehicle (VCUUV) performance results. Proc. 11th Int. Symp on Unmanned Untethered Submersible, Technology, Durham, New Hampshire, August, 1999, pp. 360–369.",Anderson_1999,,FALSE
"Chhabra, N. K. and J. R. Scholten. 1997. All-angle-of-attack hydrodynamic models for underwater vehicles, validated by tank test data, ASME Int. Mechanical Engineering Congress and Exposition, Dallas, Texas, 16–21 November 1997.",Chhabra_1997,,FALSE
"Feldman, J. 1979. DTNSRDC Revised standard submarine equations of motion, David W. Taylor Naval Ship Research and Development Center, DTNSRDC/SPD-0393–09, June, 1979.",Feldman_1979,,FALSE
"Hoerner, S. F. 1965. Fluid—dynamic drag. Published by the author.",Hoerner_1965,,FALSE
"Hoerner, S. F. and H. V. Borst. 1975. Fluid—dynamic lift. Published by the authors.",Hoerner_1975,,FALSE
"Humphreys, D. E. and K. W. Watkinson. 1992. The impact of openof the maneuver 10 sec later, the yaw rate was essentially zero. For repeated zigzag maneuvering at 1.2 m/oop vehicle stability on closed-loop control system performance: An analysis of four AUV concepts. A.R.A.P. Group, Proc. Oceans '92 Conference, October, 1992, 533–538.",Humphreys_1992,,FALSE
"Kochin, N. E., I. A. Kibel, and N. V. Roze. 1964. Theoretical hydrodynamics. Interscience Publishers, New York.",Kochin_etal_1964,,FALSE
"Naval Coastal Systems Center. 1983. Hydrodynamic Analysis Techniques (HYDAT). Panama City, Florida, March 1983.",Center_1983,,FALSE
"Newman, J. N. 1977. Marine hydrodynamics. MIT Press, Cambridge, Massachusetts.",Newman_1977,,FALSE
"Society of Naval Architects and Marine Engineers. 1989. Analysis of Turning Ability. In E. V. Lewis (ed.), Principles of naval architecture, Second revision, Vol. III, motions in waves and controllability, pp. 209–215. The Society of Naval Architects and Marine Engineers, New Jersey.",Society_1989,,FALSE
"Society of Naval Architects and Marine Engineers. 1952. Nomenclature for treating the motion of a submerged body through fluid, SNAME Technical and Research Bulletin No. 1–5, April, 1952.",Society_1952,,FALSE
"Walker, J. A. 2000. Does a rigid body limit maneuverability? J. Exp. Biol. 203:3,391–3,396.",Walker_2000,,FALSE
"Webb, P. W. 1994. The biology of fish swimming. In L. Maddock, Q. Bone, and J. M. V. Rayner (eds.), Mechanics and physiology of animal swimming, pp. 45–62. Cambridge University Press, Cambridge, UK.",Webb_1994,,FALSE
"Wolfgang, M. J., J. M. Anderson, M. A. Grosenbaugh, D. K. Yue, and M. S. Triantafyllou. 1999. Near-body flow dynamics in swimming fish. J. Exp. Biol. 202:2,303–2,327.",Wolfgang_etal_1999,,FALSE
"Bainbridge, R. (1958). The speed of swimming of fish as related to size and to the frequency and amplitude of the tail beat. Journal of Experimental Biology, 35(1), 109–133.",Bainbridge_1958,,
"BATNBRIDGE, R. & BROWN, R. H. J. (i9i8). An apparatus for the study of the locomotion of fish. J. Exp. Biol. 35, 134-7.",Bainbridge_1958_b,,TRUE
"DAHL.K & SOMME, S.(1936). Experiments in salmonmarking in Norway, 1935. Skr.norskeVtdenskAkad. I. Matem. Natumd Klasse 1935. No. 12, 1-27.",Dahl_1935,,FALSE
"DAVIDSON, M. VIOLA (1949). Salmon and eel movement in constant circular current. J. Fish. Res. Bd. Can. 7, 432-48.",Davidson_1949,,FALSE
"DKNIL, G. (1937). La mecanique du poisson de riviere. Chapitre X. Les capacites mecaniques de la truite et du saumon. Ann. Trav. publ. Belg. 38, 412-33.",Dknil_1937,,FALSE
"FRY, F. E. J. & HART, J. S. (1948). Cruising speed of goldfish in relation to water temperature.",FryHart_1948,,FALSE
"GKRO, D. R. (1952). The hydrodynamic aspects of fish propulsion. Amer. Mus. Novit. no. 1601, 1—32.",Gkro_1952,,FALSE
"GRAY, J. (1953). The locomotion of fishes. In Essays in Marine Biology, 1-16. Edinburgh: Oliver and Boyd.",Gray_1953,,FALSE
"HARDY, A. C. & BAINBRIDGE, R. (1954). Experimental observations on the vertical migrations of plankton animals. J. Mar. Biol. Ass. U.K. 33, 409—48.",Hardy_1954,,FALSE
"HECHT, S. (1916). Form and growth in fishes. J. Morph. 37, 379-400.",Hecht_1916,,FALSE
"LANE, F. W. (1941). How fast do fish swim? Ctry Ltfe, Lond., 534-5.",Lane_1941,,FALSE
"RADCLJFFE, R.W. (1950). Theeffect of fin clipping on the cruising speed of goldfish and coho salmon fry. J. Fish. Res. Bd. Can. 8 (2), 67-72.",Radcliffe_1950,,
"MAGNAN, A. (1930). Les caracterisuques geometriques et physiques des poissons. Ann. Set. not. 13, 355",Magnan_1930,,FALSE
"REGNARD, P. (1893). Sur un dispositif qui permet de mesurer la Vitesse de translation d'un poisson se mouvant dans l'eau. C.R. Soc Biol., Pans, Ser. 9, 5, 81-3.",Regnard_1893,,FALSE
"STRINGHAM, E. (1924). The maximum speed of fresh water fishes. Amer. Nat. 58, 156-61.",Stringham_1924,,FALSE
"WALES, J.H. (1950). Swimming speed of the western sucker Catostomus occidentatis Ayres. Calif'. Fish",Wales_1950,,FALSE
"Barrett, D., Grosenbaugh, M., & Triantafyllou, M. (1996). Optimal control of a flexible hull robotic undersea vehicle propelled by an oscillating foil. Proceedings of the IEEE Symposium on Autonomous Underwater Vehicle Technology, 1–9. https://doi.org/10.1109/auv.1996.532833",Barrett_etal_1996,TRUE,TRUE
"D. S. Barrett, The Design of a Flexible Hull Undersea Vehicle Propelled by an Oscillating Foil, S.M.0.E thesis, M.I.T. May 1994.",Barrett_1994,,FALSE
"J.J. Viedler and F.Hess, Fast Continuous Swimming of Two Pelagic Predators, Saithe and Mackel: A Kinematic Analysis, Journal of Experimental Biologv 109, pp 209-228. 1984",ViedlerHess_1984,,FALSE
"N.Bose and J.Lien,Propulsionof a fin whale: why the fin whale is a fast swimmer, Proceedings of the Royal Societv of London B 237, pp.175-200. 1989",BoseLien_1989,,FALSE
"M. Mason and J. K. Salsberry Jr., Robot Hands and the Mechanics of Maniuulation, The M.I.T. Press, Cambridge, Ma. 1985.",Mason_1985,TRUE,FALSE
"C. Angle,Genghis, a Six-Legged Autonomous Walking Robot, SBEEKS, thesis, MIT, March 1989.",Angle_1989,,FALSE
"Garth Zeglin, Uniroo-a One Legged Dynamic Hopping Robot, SBME, thesis, M.I.T., May 1991.",Zeglin_1991,TRUE,FALSE
"D.S. Barrett,Propulsive Efficiency of a Flexible Hull Undersea Vehicel, Ph'd. thesis, M.1.T. 1996.",Barrett_1996_b,,FALSE
"M.S. Triantafyllou, D.S.Barrett; K. Streitlien and Efficiency, in preparation for the Journal of Fluid Mechanics, 1996.",Triantafyllou_etal_1996,,FALSE
"T.Yao-Tsu Wu,""Hydromechanics of swimming propulsion. Part 3. Swimming and optimum movements of slender fish with side fins"", J. Fluid U, (1971), vol. 46, part 3, pp.545-568",Wu_1971_c,,
"M.J. Lighthill,Note on the swimming of slender fish, J. Fluid Mech., (1960) vol. 9, pp.305-317. U,(1971), vol. 46, part 3, pp.545-568.",Lighthill_1960,,FALSE
"Heidi Dewar,Studies of tropical tuna swimming performance: thermoregualtion, swimming mechanics and energetics, Ph'd. Thesis in Marine Biology University of California, San Diego (1993).",Dewar_1993,,FALSE
"Stan Frankel, Artificial Minds, the M.1.T Press, Cambrideg, Ma. 1995.",Frankel_1995,,FALSE
"Barrett, D. S. S., Triantafyllou, M. S., Yue, D. K. . K. P., Grosenbaugh, M. A. A., & Wolfgang, M. J. J. (1999). Drag reduction in fish-like locomotion. In Journal of Fluid Mechanics (Vol. 392).",Barrett_etal_1999,,TRUE
"Aleyev, Y. 1977 Nekton. W. Junk: The Netherlands.",Aleyev_1977,,FALSE
"Anderson, J. M. 1996 Vortex control for efficient propulsion. PhD thesis, Joint Program, Massachusetts Institute of Technology & Woods Hole Oceanographic Institution.",Anderson_1996,,FALSE
"Anderson, J. M., Streitlien, K., Barrett, D. S. & Triantafyllou, M. S. 1998 Oscillating foils of high propulsive efficiency. J. Fluid Mech. 360, 41–72.",Anderson_etal_1998,,FALSE
"Barrett, D. S. 1996 Forces and efficiency of a flexible hull vehicle. PhD thesis, Massachusetts Institute of Technology.",Barrett_1996,,FALSE
"Barrett, D. S. & Triantafyllou, M. S. 1995 The design of a flexible hull undersea vehicle propelled by an oscillating foil. 9th Intl Symp. on Unmanned Untethered Submersible Technology.",Barrett_1995,,FALSE
"Beal, D. N. 1999 Closed-loop vorticity control in fish-like propulsion. PhD thesis, in progress, Massachusetts Institute of Technology.",Beal_1999,,FALSE
"Cheng, J. Y., Zhuang, L. X. & Tong, B. G. 1991 Analysis of swimming three-dimensional waving plates. J. Fluid Mech. 232, 341–355.",Cheng_etal_1991,,FALSE
"Ffowcs Williams, J. E. & Zhao, B. C. 1989 The active control of vortex shedding. J. Fluids Struct.",Ffowcs_1989,,FALSE
"Fierstine, H. L. & Walters, V. 1968 Studies in locomotion and anatomy of scombroid fishes.",Fierstine_1968,,FALSE
"Gopalkrishnan, R., Triantafyllou, M. S., Triantafyllou, G. S. & Barrett, D. S. 1994 Active vorticity control in a shear flow using a flapping foil. J. Fluid Mech. 274, 1–21.",Gopalkrishnan_etal_1994,,FALSE
"Gray, J. 1936 Studies in animal locomotion VI: The propulsive powers of the dolphin. J. Expl Biol.",Gray_1936,,FALSE
"Gursul, I. & Ho, C. M. 1992 High aerodynamic loads on an airfoil submerged in an unsteady stream. AIAA J. 30, 1117–1119.",Gursul_1992,,FALSE
"Hoerner, S. F. 1985 Fluid-Dynamic Lift. Hoerner Fluid Dynamics, Vancouver, WA.",Hoerner_1985,,FALSE
"Koochesfahani, M. M. & Dimotakis, P. 1988 A cancellation experiment in a forced turbulent shear layer. AIAA Paper 88-3713P.",Koochesfahani_1988,,FALSE
"Krasny, R. 1986 Desingularization of periodic vortex sheet roll-up. J. Comput. Phys. 65, 292–313.",Krasny_1986,,FALSE
"Lighthill, J. 1975 Mathematical Biofluiddynamics. SIAM: Philadelphia.",Lighthill_1975,,FALSE
"Roberts, F. A. & Roshko, A. 1985 Effects of periodic forcing on mixing in turbulent shear layers and wakes. AIAA Paper 85-0570.",Roberts_1985,,FALSE
"Rome, L. C., Swank, D. & Corda, D. 1993 How fish power swimming. Science 261, 340–343.",Rome_etal_1993,,FALSE
"Taneda, S. & Tomonari, Y. 1974 An experiment on the flow around a waving plate.",Taneda_1974,,FALSE
"Taneda, S. 1978 Visual observations of the flow past a circular cylinder performing a rotary oscillation. J. Phys. Soc. Japan 45, 1038–1043.",Taneda_1978,,FALSE
"Tokomaru, P. T. & Dimotakis, P. E. 1991 Rotary oscillation control of a cylinder wake. J. Fluid Mech.",Tokomaru_1991,,FALSE
"Triantafyllou, M. S. & Triantafyllou, G. S. 1995 An efficient swimming machine. Sci. Am. 272 (3), 64–70.",Triantafyllou_1995,,FALSE
"Triantafyllou, M. S., Triantafyllou, G. S. & Gopalkrishnan, R. 1991 Wake mechanics for thrust generation in oscillating foils. Phys. Fluids A 3, 2835–2837.",Triantafyllou_etal_1991,,FALSE
"Wolfgang, M. J. 1999 Hydrodynamics of flexible-body swimming motions. PhD thesis, Massachusetts Institute of Technology.",Wolfgang_1999,,FALSE
"Wu, T. Y. 1961 Swimming of a waving plate. J. Fluid Mech. 10, 321–344.",Wu_1961,,FALSE
"Wu, T. Y. 1971 Hydromechanics of swimming propulsion. Part 1. Swimming of a two dimensional flexible plate at variable forward speeds in an inviscid fluid. J. Fluid Mech. 46, 337–355.",Wu_1971,,FALSE
"Blake, R. W., Chatters, L. M., & Domenici, P. (1995). Turning radius of yellowfin tuna (Thunnus albacares) in unsteady swimming manoeuvres. 1Journal of Fish Biology, 46, 536–538. https://doi.org/10.1521/00332747.1961.11023285",Blake_etal_1995,,TRUE
"Blake, R. W. (1995). Fish functional design and swimming performance. Journal of Fish Biology (in press).",Blake_1995,,FALSE
"Domenici, P. & Blake, R. W. (1991). The kinematics and performance of the escape response in the angelfish (Pterophyllum eitnekei). Journal of Experimental Biology 156, 187-205.",DomeniciBlake_1991,,FALSE
"Harper, D. G. & Blake, R. W. (1989). On the error involved in high-speed film when used to evaluate maximum acceleration of fish. Canadian Journal of Zoology 67, 1929-1936.",Harper_1989,,FALSE
"Kasapi, M. A., Domenici, P., Blake, R. W. & Harper, D. (1993). The kinematics and performance of escape responses of the knifefish Xenornystus nigri. Canadian Journal of Zoology 71, 189-195.",Kasapi_etal_1993,,FALSE
"Partridge, B. L., Johansson, J. & Kalish, J. (1983). The structure of schools of giant bluefin tuna in Cape Cod Bay. Environmental Biology of Fishes 9, 253-262.",Partridge_etal_1983,,FALSE
"Webb, P. W. (1976). The effect of size on fast-start performance of rainbow trout S a h o gairdneri, and a consideration of piscivorous predator-prey interactions. Journal of Experimental Biology 65, 157-177.",Webb_1976,,FALSE
"Webb, P. W. (1983). Speed, acceleration and maneuverability in seven species of teleost fish. Journul of Experimental Biology 102, 115-1 22.",Webb_1983,,FALSE
"Webb, P. W. (1984). Body form, locomotion and foraging in aquatic vertebrates. American Zoologist 24, 107-120.",Webb_1984,,FALSE
"Webb, P. W. (1988). ' Steady ' swimming kinematics of tiger musky, an esociform accelerator, and rainbow trout, a generalist cruiser. Journal of Experimental Biology 138, 51-69.",Webb_1988,,FALSE
"Webb, P. W. & de Buffrtnil, V. (1990). Locomotion in the biology of large aquatic vertebrates. Transactions of the American Fisheries Society 119, 629-641.",Webb_1990,,FALSE
"Webb, P. W. & Keyes, R. S. (1981). Division of labor between median fins in swimming dolphin (Pisces: Coryphaenidae). Copeia 4, 90 1-904.",Webb_1981,,FALSE
"Blank, J. M., Farwell, C. J., Morrissette, J. M., Schallert, R. J., Block, B. A., April, N. M., Blank, J. M., Morrissette, J. M., & Block, B. A. (2007). Influence of Swimming Speed on Metabolic Rates of Juvenile Pacific Bluefin Tuna and Yellowfin Tuna. Physiological and Biochemical Zoology: Ecology and Evolutionary Approaches, 80(2), 167–177.",Blank_etal_2007,,TRUE
Barrett I. and F.J. Hester. 1964. Body temperature of the yel- lowfin and skipjack tunas in relation to sea surface temper- ature. Nature 203:96–97,Barrett_1964,,
Bell W.H. and L.D.B. Terhune. 1970. Water tunnel design for fisheries research. Can Fish Res Board Tech Rep 195:1–69,Bell_1970,,
"Blank J.M., J.M. Morrissette, P.S. Davie, and B.A. Block. 2002. Effects of temperature, epinephrine and Ca2⫹ on the hearts of yellowfin tuna (Thunnus albacares). J Exp Biol 205:1881– 1888.",Blank_etal_2002,,
"Blank J.M., J.M. Morrissette, A.M. Landeira-Fernandez, S.B. Blackwell, T.D.Williams, and B.A. Block. 2004. In situ cardiac performance of Pacific bluefin tuna hearts in response to acute temperature change. J Exp Biol 207:881–890",Blank_etal_2004,,
"Block B.A., H. Dewar, S.B. Blackwell, T.D. Williams, E.D. Prince, C.J. Farwell, A. Boustany, et al. 2001. Migratory movements, depth preferences, and thermal biology of At- lantic bluefin tuna. Science 293:1310–1314.",Block_etal_2001,,
"Block B.A., J.E. Keen, B. Castillo, H. Dewar, E.V. Freund, D.J. Marcinek, R.W. Brill, and C. Farwell. 1997. Environmental preferences of yellowfin tuna (Thunnus albacares) at the northern extent of its range. Mar Biol 130:119–132",Block_etal_2001_b,,
"Block B.A., S.L.H. Teo, A. Walli, A. Boustany, M.J.W. Stokes- bury, C.J. Farwell, K.C. Weng, H. Dewar, and T.D. Williams. 2005. Electronic tagging and population structure ofAtlantic bluefin tuna. Nature 28:1121–1127.",Block_etal_2005,,FALSE
Boggs C.H. and J.F. Kitchell. 1991. Tuna metabolic rates estimated from energy losses during starvation. Physiol Zool 64: 502–524.,Boggs_1991,,FALSE
Brett J.R. 1964. The respiratory metabolism and swimming performance of young sockeye salmon. J Fish Res Board Can 21:1183–1226.,Brett_1964,,FALSE
"Brill R.W. 1979. The effect of body size on the standard metabolic rate of skipjack tuna, Katsuwonus pelamis. Fish Bull 77:494–498.",Brill_1979,,FALSE
"———. 1987. On the standard metabolic rates of tropical tunas, including the effect of body size and acute temperature change. Fish Bull 85:25–35.",Brill_1987_b,,FALSE
"Brill R.W. and P.G. Bushnell. 2001. The cardiovascular system of tunas. Pp. 79–120 in B.A. Block and E.D. Stevens, eds. Tunas: Physiology, Ecology and Evolution. Academic Press, San Diego, CA.",Brill_2001,,FALSE
"Carey F.G., J.W. Kanwisher, and E.D. Stevens. 1984. Bluefin tuna warm their viscera during digestion. J Exp Biol 109:1–",Carey_etal_1984,,FALSE
Carey F.G. and K.D. Lawson. 1973. Temperature regulation in free-swimming bluefin tuna. Comp Biochem Physiol A 44: 375–392.,Carey_1973,,FALSE
Carey F.G. and J.M. Teal. 1969. Regulation of body temperature by the bluefin tuna. Comp Biochem Physiol 28:205–213.,Carey_1969,,FALSE
Clarke A. and N.M. Johnston. 1999. Scaling of metabolic rate with body mass and temperature in teleost fish. J Anim Ecol 68:893–905.,Clarke_1999,,FALSE
"Dewar H., J.B. Graham, and R.W. Brill. 1994. Studies of tropical tuna swimming performance in a large water tunnel.",Dewar_etal_1994,,FALSE
Dickson K. 1996. Locomotor muscle of high performance fishes: what do comparisons of tunas with ectothermic sister taxa reveal? Comp Biochem Physiol A 113:39–49.,Dickson_1996,,FALSE
"Dickson K.A., J.M. Donley, C. Sepulveda, and L. Bhoopat. 2002. Blank, J. M., Farwell, C. J., Morrissette, J. M., Schallert, R. J., Block, B. A., April, N. M., Blank, J. M., Morrissette, J. M., & Block, B. A. (2007). Influence of Swimming Speed on Metabolic Rates of Juvenile Pacific Bluefin Tuna and Yellowfin Tuna. Physiological and Biochemical Zoology: Ecology and Evolutionary Approaches, 80(2), 167–177.",Dickson_etal_2002,,FALSE
"Farrell A.P., P.S. Davie, C.E. Franklin, J.A. Johansen, and R.W. Brill. 1992. Cardiac physiology in tunas. 1. In vitro perfused heart preparations from yellowfin and skipjack tunas. Can J Zool 70:1200–1210",Farrell_etal_1992,,FALSE
"Farrell A.P., C.G. Lee, K. Tierney, A. Hodaly, S. Clutterham, M. Healey, S. Hinch, and A. Lotto. 2003. Field-based measure- ments of oxygen uptake and swimming performance with adult Pacific salmon using a mobile respirometer swim tun- nel. J Fish Biol 62:64–84",Farrell_2003,,FALSE
"Farwell C.J. 2001. Tunas in captivity. Pp. 391–412 in B.A. Block and E.D. Stevens, eds. Tunas: Physiology, Ecology and Evolution. Academic Press, San Diego, CA.",Farwell_2001,,FALSE
"Freund E. 1999. Comparisons of metabolic and cardiac performance in scombrid fishes: insights into the evolution of endothermy. PhD diss. Stanford University, Palo Alto, CA.",Freund_1999,,FALSE
"Giovane A., G. Greco, A. Maresca, and B. Tota. 1980. Myoglobin in the heart ventricle of tuna and other fishes. Experientia 36:219–220.",Giovane_etal_1980,,FALSE
"Gooding R.M., W.H. Neill, and A.E. Dizon. 1981. Respiration rates and low oxygen tolerance limits in skipjack tuna, Katsuwonus pelamis. Fish Bull 79:31–48.",Gooding_etal_1981,,FALSE
Graham J.B. and R.M. Laurs. 1982. Metabolic rate of the albacore tuna Thunnus alalunga. Mar Biol 72:1–6.,Graham_1982,,FALSE
"Graham J.B., W.R. Lowell, N.C. Lai, and R.M. Laurs. 1989. O2 tension, swimming-velocity, and thermal effects on the metabolic rate of the pacific albacore Thunnus alalunga. Exp Biol 48:89–94.",Graham_etal_1989,,FALSE
"Gunn J., J. Hartog, and K. Rough. 2001. The relationship between food intake and visceral warming in southern bluefin tuna (Thunnus maccoyii). Pp. 109–130 in J.R. Sibert and J.L. Nielsen, eds. Electronic Tagging and Tracking in Marine",Gunn_etal_2001,,FALSE
"Guppy M., W.C. Hulbert, and P.W. Hochachka. 1979. Metabolic sources of heat and power in tuna muscles. II. Enzyme and metabolite profiles. J Exp Biol 82:303–320.",Guppy_etal_1979,,FALSE
Hamilton N. and C. Ianuzzo. 1991. Contractile and calcium regulating capacities of myocardia of different sized mammals scale with resting heart rate. Mol Cell Biochem 106: 133–141.,Hamilton_1991,,FALSE
"Hughes G.M. 1984. General anatomy of the gills. Pp. 1–72 in W.S. Hoar and D.J. Randall, eds. Fish Physiology. Vol. 10. Gills, Part A: Anatomy, Gas Transfer, and Acid-Base Regu- lation. Academic Press, New York",Hughes_1984,,FALSE
Kishinouye K. 1923. Contributions to the comparative study of the so-called scombroid fishes. J Coll Agric Imp Univ Tokyo 8:293–475.,Kishinouye_1923,,FALSE
"Kitagawa T., S. Kimura, H. Nakata, and H. Yamada. 2004. Diving behavior of immature, feeding Pacific bluefin tuna (Thunnus thynnus orientalis) in relation to season and area: 128.103.147.149 on Wed, 24 Nov 2021 21:34:01 UTC",Kitagawa_etal_2004,,FALSE
———. 2006. Thermal adaptation of Pacific bluefin tuna Thunnus orientalis to temperate waters. Fish Sci 72:149–156.,Kitagawa_2006_d,,FALSE
"Kitagawa T., H. Nakata, S. Kimura, T. Sugimoto, and H. Yamada. 2002. Differences in vertical distribution and movement of Pacific bluefin tuna (Thunnus thynnus orientalis)",Kitagawa_etal_2002,,FALSE
"Knower T., R.E. Shadwick, S.L. Katz, J.B. Graham, and C.S. Wardle. 1999. Red muscle activation patterns in yellowfin (Thunnus albacares) and skipjack (Katsuwonuspelamis) tunas during steady swimming. J Exp Biol 202:2127–2138",Knower_etal_1999,,FALSE
"Korsmeyer K.E. and H. Dewar. 2001. Tuna metabolism and energetics. Pp. 35–78 in B.A. Block and E.D. Stevens, eds. Korsmeyer K.E., H. Dewar, N.C. Lai, and J.B. Graham. 1996.",Korsmeyer_2001,,FALSE
"Korsmeyer K.E., H. Dewar, N.C. Lai, and J.B. Graham. 1996. The aerobic capacity of tunas: adaptation for multiple met- abolic demands. Comp Biochem Physiol A 113:17–24.",Korsmeyer_etal_1996,,
"Landeira-Fernandez A.M., J.M. Morrissette, J.M. Blank, and B.A. Block. 2004. Temperature dependence of the Ca2⫹
-
ATPase (SERCA2) in the ventricles of tuna and mackerel. Am J Physiol 286:R398–R404.",Landeira-Fernandez_etal_2004,,
Linthicum D.S. and F.G. Carey. 1972. Regulation of brain and eye temperatures by the bluefin tuna. Comp Biochem Physiol A 43:425–433.,Linthicum_1972,,FALSE
Magnuson J.J. 1969. Digestion and food consumption by skipjack tuna (Katsuwonus pelamis). Trans Am Fish Soc 98:379–,Magnuson_1969,,FALSE
———. 1973. Comparative study of adaptations for continuous swimming and hydrostatic equilibrium of scombroid and xiphoid fishes. Fish Bull 71:337–356.,Magnuson_1973_e,,FALSE
"Marcinek D.J. 2000. The physiological ecology of myoglobin in scombrid fish. PhD diss. Stanford University, Palo Alto, CA.",Marcinek_2000,,FALSE
"Marcinek D.J., S.B. Blackwell, H. Dewar, E.V. Freund, C. Farwell, D. Dau, A.C. Seitz, and B.A. Block. 2001. Depth and muscle temperature of Pacific bluefin tuna examined with acoustic and pop-up satellite archival tags. Mar Biol 138: 869–885.",Marcinek_etal_2001,,FALSE
Modigh M. and B. Tota. 1975. Mitochondrial respiration in the ventricular myocardium and in the white and deep red myotomal muscles of juvenile tuna fish (Thunnus thynnus L.).,Modigh_1975,,FALSE
"Moyes C.D., O.A. Mathieu-Costello, R.W. Brill, and P.W. Hochachka. 1992. Mitochondrial metabolism of cardiac and skeletal muscles from a fast (Katsuwonus pelamis) and a slow (Cyprinus carpio) fish. Can J Zool 70:1246–1253.",Moyes_etal_1992,,FALSE
Muir B. and G. Hughes. 1969. Gill dimensions for 3 species of tunny. J Exp Biol 51:271–285.,Muir_1969,,FALSE
"Poupa O., L. Lindstrom, A. Maresca, and B. Tota. 1981. Cardiac growth, myoglobin, proteins and DNA in developing tuna (Thunnus thynnus thynnus L.). Comp Biochem Physiol A 70: 217–222.",Poupa_etal_1981,,FALSE
Sepulveda C. and K.A. Dickson. 2000. Maximum sustainable speeds and cost of swimming in juvenile kawakawa tuna (Euthynnus affinis) and chub mackerel (Scomber japonicus). J Exp Biol 203:3089–3101.,SepulvedaDickson_2000,,FALSE
